word, pos
"the",DT
",",,
".",.
"of",IN
"to",IN
"and",CC
"in",IN
"a",LS
""",''
"'s",POS
"for",IN
"-",:
"that",IN
"on",IN
"is",VBZ
"was",VBD
"said",VBD
"with",IN
"he",PRP
"as",IN
"it",PRP
"by",IN
"at",IN
"(",-LRB-
")",-RRB-
"from",IN
"his",PRP$
"an",DT
"be",VB
"has",VBZ
"are",VBP
"have",VBP
"but",CC
"were",VBD
"not",RB
"this",DT
"who",WP
"they",PRP
"had",VBD
"i",PRP
"which",WDT
"will",MD
"their",PRP$
":",:
"or",CC
"its",PRP$
"one",CD
"after",IN
"new",NNP
"been",VBN
"also",RB
"we",PRP
"would",MD
"two",CD
"more",JJR
"'",''
"first",RB
"about",IN
"up",IN
"when",WRB
"year",NN
"there",EX
"all",DT
"--",.
"out",IN
"she",PRP
"other",JJ
"people",NNS
"n't",RB
"her",PRP$
"percent",NN
"than",IN
"over",IN
"into",IN
"last",JJ
"some",DT
"government",NN
"time",NN
"$",$
"you",PRP
"years",NNS
"if",IN
"no",UH
"world",NN
"can",MD
"three",CD
"do",VBP
";",:
"president",NNP
"only",RB
"state",NN
"million",CD
"could",MD
"us",PRP
"most",JJS
"against",IN
"so",RB
"them",PRP
"what",WP
"him",PRP
"united",NNP
"during",IN
"before",IN
"may",MD
"since",IN
"many",JJ
"while",IN
"where",WRB
"states",NNS
"because",IN
"now",RB
"city",NN
"made",VBN
"like",IN
"between",IN
"did",VBD
"just",RB
"national",NNP
"day",NN
"country",NN
"under",IN
"such",JJ
"second",JJ
"then",RB
"company",NN
"group",NN
"any",DT
"through",IN
"china",NNP
"four",CD
"being",VBG
"down",IN
"war",NN
"back",RB
"off",IN
"south",NNP
"minister",NNP
"police",NNS
"well",UH
"including",VBG
"team",NN
"international",NNP
"week",NN
"officials",NNS
"still",RB
"both",DT
"even",RB
"high",JJ
"part",NN
"told",VBD
"those",DT
"end",NN
"former",JJ
"these",DT
"make",VB
"billion",CD
"work",NN
"our",PRP$
"home",NN
"school",NN
"party",NNP
"house",NNP
"old",JJ
"later",RB
"get",VB
"another",DT
"news",NN
"long",RB
"five",CD
"called",VBN
"military",NN
"way",NN
"used",VBN
"much",JJ
"next",RB
"game",NN
"here",RB
"?",.
"should",MD
"take",VB
"very",RB
"my",PRP$
"north",NNP
"security",NN
"season",NN
"how",WRB
"public",JJ
"early",RB
"according",VBG
"several",JJ
"court",NN
"say",VB
"around",IN
"foreign",NNP
"until",IN
"set",NN
"political",JJ
"says",VBZ
"market",NN
"however",RB
"family",NN
"life",NN
"same",JJ
"general",NNP
"–",:
"left",VBD
"good",JJ
"top",NNP
"university",NN
"going",VBG
"number",NN
"major",NNP
"known",VBN
"points",NNS
"won",VBD
"six",CD
"month",NN
"dollars",NNS
"bank",NN
"use",NN
"members",NNS
"each",DT
"area",NN
"found",VBN
"official",NNP
"place",NN
"go",VB
"based",VBN
"among",IN
"third",JJ
"times",NNS
"took",VBD
"right",UH
"days",NNS
"local",JJ
"economic",JJ
"countries",NNS
"see",UH
"best",JJS
"report",NN
"killed",VBN
"held",VBN
"business",NN
"west",NNP
"does",VBZ
"own",JJ
"%",NN
"came",VBD
"law",NN
"months",NNS
"women",NNS
"'re",VBP
"power",NN
"think",VB
"service",NN
"children",NNS
"bush",NNP
"show",NNP
"/",SYM
"help",NN
"chief",NNP
"system",NN
"support",NN
"series",NNP
"play",VB
"office",NN
"following",VBG
"me",PRP
"meeting",NN
"expected",VBN
"late",RB
"games",NNS
"league",NNP
"reported",VBN
"final",JJ
"added",VBN
"without",IN
"white",NNP
"history",NN
"man",NN
"men",NNS
"became",VBD
"want",VBP
"march",NNP
"case",NN
"few",JJ
"run",VB
"money",NN
"began",VBD
"open",JJ
"name",NN
"trade",NN
"center",NNP
"oil",NN
"too",RB
"al",NNP
"film",NNP
"win",NNP
"led",VBN
"east",NNP
"central",NNP
"air",NN
"come",VB
"town",NN
"leader",NN
"army",NNP
"line",NN
"never",RB
"little",JJ
"played",VBN
"prime",NNP
"death",NN
"companies",NNS
"least",JJS
"put",VB
"forces",NNS
"past",IN
"de",NNP
"half",NN
"saying",VBG
"know",VB
"federal",NNP
"peace",NN
"earlier",RBR
"capital",NN
"force",NN
"great",JJ
"union",NN
"near",IN
"released",VBN
"small",JJ
"department",NNP
"every",DT
"health",NN
"head",NN
"ago",RB
"night",NN
"big",JJ
"cup",NNP
"election",NN
"region",NN
"director",NN
"talks",NNS
"program",NN
"far",RB
